,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt
11229,30709435,40.614266,-74.006941,MultiFamily2To4,2.0,3,11228,848022,2000
11230,30708946,40.614566,-74.005811,Triplex,0.0,0,11228,1211406,1950
11231,250617098,40.61106,-74.00129,SingleFamily,0.0,0,11214,0,1956
11232,2090871210,40.60112,-73.99708,MultiFamily2To4,0.0,0,11214,406244,0
11233,2105971866,40.60688,-74.00663,MultiFamily2To4,0.0,1,11214,285931,0
11234,247859625,40.60425,-74.00341,SingleFamily,0.0,0,11214,0,1900
11235,2105971866,40.60688,-74.00663,MultiFamily2To4,0.0,1,11214,285931,0
11236,2090871210,40.60112,-73.99708,MultiFamily2To4,0.0,0,11214,406244,0
11237,247859625,40.60425,-74.00341,SingleFamily,0.0,0,11214,0,1900
11238,2104588586,40.59106,-73.97585,MultiFamily5Plus,1.0,1,11223,0,0
11239,2085834549,40.59061,-73.97513,MultiFamily5Plus,1.0,1,11223,0,0
11240,112505707,40.57705,-73.980953,SingleFamily,0.0,0,11224,0,16240
11241,30690696,40.638646,-74.015886,MultiFamily2To4,4.0,7,11220,1017438,2000
